,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period
14,BURKINA FASO,BFA,40.89,82.03,68.55,2,1991-2025
15,BANGLADESH,BGD,46.49,87.24,72.86,2,1991-2025
17,BAHRAIN,BHR,45.96,87.95,72.62,2,1991-2025
18,BAHAMAS,BHS,54.1,77.99,70.68,2,1991-2025
20,BELARUS,BLR,44.25,79.36,81.31,2,1991-2025
21,BELIZE,BLZ,48.95,78.57,68.73,2,1991-2025
22,BOLIVIA (PLURINATIONAL STATE OF),BOL,46.56,81.23,71.68,2,1991-2025
23,BRAZIL,BRA,52.15,82.94,71.79,2,1991-2025
24,BARBADOS,BRB,51.73,80.18,70.85,2,1991-2025
25,BRUNEI DARUSSALAM,BRN,44.98,88.8,73.33,2,1991-2025
26,BHUTAN,BTN,39.7,77.04,66.27,2,1991-2025
27,BOTSWANA,BWA,48.53,78.79,68.34,2,1991-2025
31,CHILE,CHL,59.33,83.18,71.89,2,1991-2025
32,CHINA,CHN,38.05,100.0,76.01,2,1991-2025
33,CÔTE D'IVOIRE,CIV,47.47,74.07,63.95,2,1991-2025
34,CAMEROON,CMR,43.07,65.31,56.82,2,1991-2025
36,CONGO,COG,34.04,68.47,58.33,2,1991-2025
37,COLOMBIA,COL,48.95,81.53,71.95,2,1991-2025
39,CABO VERDE,CPV,43.5,76.72,65.63,2,1991-2025
40,COSTA RICA,CRI,60.13,77.31,69.97,2,1991-2025
42,CUBA,CUB,32.75,87.25,72.2,2,1991-2025
46,DJIBOUTI,DJI,43.67,84.68,70.68,2,1991-2025
49,DOMINICAN REPUBLIC,DOM,48.32,71.24,64.23,2,1991-2025
50,ALGERIA,DZA,38.86,88.88,73.03,2,1991-2025
51,ECUADOR,ECU,50.38,83.6,73.61,2,1991-2025
52,EGYPT,EGY,43.16,87.69,74.52,2,1991-2025
53,ERITREA,ERI,39.66,77.75,68.7,2,1991-2025
56,ETHIOPIA,ETH,38.79,80.89,70.9,2,1991-2025
58,FIJI,FJI,45.33,67.69,62.67,2,1991-2025
61,GABON,GAB,35.13,68.92,59.44,2,1991-2025
64,GHANA,GHA,44.2,79.25,67.57,2,1991-2025
65,GUINEA,GIN,40.3,78.18,65.65,2,1991-2025
67,GUINEA-BISSAU,GNB,33.47,63.22,52.88,2,1991-2025
70,GRENADA,GRD,42.33,70.72,62.38,2,1991-2025
71,GUATEMALA,GTM,58.03,75.13,68.31,2,1991-2025
72,GUYANA,GUY,50.79,84.69,73.62,2,1991-2025
75,HAITI,HTI,49.63,68.86,61.13,2,1991-2025
77,INDONESIA,IDN,42.97,87.78,73.6,2,1991-2025
78,INDIA,IND,40.55,83.84,73.56,2,1991-2025
80,IRAN (ISLAMIC REPUBLIC OF),IRN,36.69,83.57,70.73,2,1991-2025
85,JAMAICA,JAM,51.26,83.67,74.3,2,1991-2025
86,JORDAN,JOR,43.94,86.15,71.03,2,1991-2025
88,KAZAKHSTAN,KAZ,54.03,77.86,77.51,2,1991-2025
89,KENYA,KEN,40.23,80.75,68.87,2,1991-2025
90,KYRGYZSTAN,KGZ,38.59,68.28,65.02,2,1991-2025
91,CAMBODIA,KHM,39.87,76.42,66.77,2,1991-2025
95,KUWAIT,KWT,47.94,86.88,73.65,2,1991-2025
96,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,31.97,85.5,70.25,2,1991-2025
97,LEBANON,LBN,39.1,84.37,69.28,2,1991-2025
99,LIBYA,LBY,41.02,86.33,72.03,2,1991-2025
100,SAINT LUCIA,LCA,45.68,79.72,69.02,2,1991-2025
102,SRI LANKA,LKA,44.62,88.1,73.92,2,1991-2025
103,LESOTHO,LSO,36.71,71.42,62.18,2,1991-2025
107,MOROCCO,MAR,48.76,86.33,71.49,2,1991-2025
110,MADAGASCAR,MDG,40.92,68.01,58.39,2,1991-2025
111,MALDIVES,MDV,53.87,85.04,72.54,2,1991-2025
112,MEXICO,MEX,54.3,81.86,71.6,2,1991-2025
115,MALI,MLI,39.09,84.83,71.45,2,1991-2025
117,MYANMAR,MMR,45.49,82.62,69.16,2,1991-2025
119,MONGOLIA,MNG,47.9,81.45,73.07,2,1991-2025
120,MOZAMBIQUE,MOZ,40.29,81.4,68.94,2,1991-2025
121,MAURITANIA,MRT,36.08,78.99,65.25,2,1991-2025
122,MAURITIUS,MUS,48.26,82.16,71.9,2,1991-2025
123,MALAWI,MWI,45.64,64.01,56.37,2,1991-2025
124,MALAYSIA,MYS,46.81,87.86,73.61,2,1991-2025
125,NAMIBIA,NAM,38.92,82.72,69.11,2,1991-2025
126,NIGER,NER,35.09,67.72,56.37,2,1991-2025
127,NIGERIA,NGA,43.55,83.01,70.21,2,1991-2025
128,NICARAGUA,NIC,44.67,78.94,71.17,2,1991-2025
131,NEPAL,NPL,47.74,84.77,73.41,2,1991-2025
134,OMAN,OMN,44.12,86.88,73.05,2,1991-2025
135,PAKISTAN,PAK,42.74,89.8,75.34,2,1991-2025
136,PANAMA,PAN,59.01,77.54,70.26,2,1991-2025
137,PERU,PER,56.39,80.98,74.55,2,1991-2025
138,PHILIPPINES,PHL,48.44,85.71,73.69,2,1991-2025
140,PAPUA NEW GUINEA,PNG,51.8,64.42,58.27,2,1991-2025
142,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,17.16,79.97,67.09,2,1991-2025
144,PARAGUAY,PRY,56.35,75.87,68.66,2,1991-2025
145,QATAR,QAT,46.16,87.33,73.3,2,1991-2025
147,RUSSIAN FEDERATION,RUS,54.58,76.01,100.0,2,1991-2025
149,SAUDI ARABIA,SAU,45.93,85.25,73.11,2,1991-2025
151,SUDAN,SDN,39.98,85.63,72.06,2,1991-2025
152,SENEGAL,SEN,46.82,85.17,71.47,2,1991-2025
153,SINGAPORE,SGP,48.95,85.1,72.99,2,1991-2025
154,SOLOMON ISLANDS,SLB,50.21,65.56,61.99,2,1991-2025
155,SIERRA LEONE,SLE,41.8,70.09,60.37,2,1991-2025
156,EL SALVADOR,SLV,52.2,77.54,68.4,2,1991-2025
162,SURINAME,SUR,44.54,77.25,66.45,2,1991-2025
168,SYRIAN ARAB REPUBLIC,SYR,28.5,83.24,69.86,2,1991-2025
