"country_code","name","agreements_w_usa","pct_agreement_w_usa","agreements_w_china","pct_agreement_w_china","agreements_w_russia","pct_agreement_w_russia"
"JOR","JORDAN","410","43.94","2114","86.15","1613","71.03"
"JPN","JAPAN","640","67.23","1441","65.26","1533","75.15"
"KAZ","KAZAKHSTAN","496","54.03","1910","77.86","1771","77.51"
"KEN","KENYA","383","40.23","1984","80.75","1573","68.87"
"KGZ","KYRGYZSTAN","355","38.59","1681","68.28","1487","65.02"
"KHM","CAMBODIA","366","39.87","1880","76.42","1527","66.77"
"KIR","KIRIBATI","236","32.33","569","28.91","452","25.00"
"KNA","SAINT KITTS AND NEVIS","330","34.66","1195","48.54","956","41.97"
"KOR","REPUBLIC OF KOREA","635","66.63","1413","64.37","1531","73.39"
"KWT","KUWAIT","442","47.94","2133","86.88","1666","73.65"
"LAO","LAO PEOPLE'S DEMOCRATIC REPUBLIC","290","31.97","2094","85.50","1601","70.25"
"LBN","LEBANON","355","39.10","2067","84.37","1572","69.28"
"LBR","LIBERIA","351","36.95","1101","45.33","870","38.53"
"LBY","LIBYA","361","41.02","2109","86.33","1607","72.03"
"LBY","LIBYAN ARAB JAMAHIRIYA","361","41.02","2109","86.33","1607","72.03"
"LCA","SAINT LUCIA","434","45.68","1962","79.72","1571","69.02"
"LIE","LIECHTENSTEIN","658","68.97","1375","63.75","1483","73.60"
"LKA","SRI LANKA","406","44.62","2162","88.10","1684","73.92"
"LSO","LESOTHO","348","36.71","1757","71.42","1419","62.18"
"LTU","LITHUANIA","664","69.97","1254","61.41","1431","72.42"
"LUX","LUXEMBOURG","670","70.38","1315","64.12","1463","73.85"
"LVA","LATVIA","670","70.45","1240","60.40","1428","71.87"
"MAR","MOROCCO","452","48.76","2116","86.33","1622","71.49"
"MCO","MONACO","646","70.45","1184","59.26","1323","68.98"
"MDA","REPUBLIC OF MOLDOVA","639","67.12","1291","59.52","1420","70.05"
"MDG","MADAGASCAR","390","40.92","1675","68.01","1336","58.39"
"MDV","MALDIVES","501","53.87","2086","85.04","1643","72.54"
"MEX","MEXICO","518","54.30","2013","81.86","1636","71.60"
"MHL","MARSHALL ISLANDS","657","69.30","851","46.84","878","52.83"
"MKD","THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA","590","64.06","1248","60.35","1350","69.16"
"MKD","NORTH MACEDONIA","590","64.06","1248","60.35","1350","69.16"
"MLI","MALI","360","39.09","2074","84.83","1634","71.45"
"MLT","MALTA","663","69.57","1495","68.64","1433","70.42"
"MMR","MYANMAR","393","45.49","2021","82.62","1556","69.16"
"MNE","MONTENEGRO","401","71.10","806","65.00","817","71.35"
"MNG","MONGOLIA","457","47.90","2006","81.45","1671","73.07"
"MOZ","MOZAMBIQUE","384","40.29","2005","81.40","1578","68.94"
"MRT","MAURITANIA","337","36.08","1940","78.99","1485","65.25"
"MUS","MAURITIUS","457","48.26","2017","82.16","1640","71.90"
"MWI","MALAWI","434","45.64","1574","64.01","1288","56.37"
"MYS","MALAYSIA","425","46.81","2157","87.86","1665","73.61"
"NAM","NAMIBIA","367","38.92","2034","82.72","1575","69.11"
"NER","NIGER","326","35.09","1664","67.72","1284","56.37"
"NGA","NIGERIA","405","43.55","2037","83.01","1591","70.21"
"NIC","NICARAGUA","369","44.67","1908","78.94","1622","71.17"
"NLD","NETHERLANDS (KINGDOM OF THE)","667","70.14","1296","64.03","1438","73.78"
"NLD","NETHERLANDS","667","70.14","1296","64.03","1438","73.78"
"NOR","NORWAY","666","69.96","1343","64.20","1471","73.70"
"NPL","NEPAL","454","47.74","2087","84.77","1679","73.41"
"NRU","NAURU","236","33.01","559","32.81","464","29.90"
"NZL","NEW ZEALAND","634","66.60","1468","67.93","1485","73.66"
"OMN","OMAN","394","44.12","2133","86.88","1651","73.05"
"PAK","PAKISTAN","377","42.74","2191","89.80","1686","75.34"
"PAN","PANAMA","563","59.01","1885","77.54","1590","70.26"
"PER","PERU","538","56.39","1993","80.98","1705","74.55"
"PHL","PHILIPPINES","450","48.44","2106","85.71","1683","73.69"
"PLW","PALAU","456","51.94","530","30.06","496","30.83"
"PNG","PAPUA NEW GUINEA","490","51.80","1559","64.42","1304","58.27"
"POL","POLAND","673","70.84","1284","63.31","1457","73.88"
"PRK","DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA","127","17.16","1884","79.97","1470","67.09"
"PRT","PORTUGAL","667","69.99","1354","65.06","1488","74.40"
