,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
86,GERMAN DEMOCRATIC REPUBLIC,DDR,27.31,75.77,99.3,1,1946-2025,
87,DJIBOUTI,DJI,36.5,81.77,73.6,1,1946-2025,
88,DOMINICAN REPUBLIC,DOM,47.48,68.33,64.52,1,1946-2025,
89,ALGERIA,DZA,33.27,82.26,79.59,1,1946-2025,
90,TANGANYIKA,EAT,40.43,60.38,74.19,1,1946-2025,
91,ECUADOR,ECU,47.51,78.45,75.32,1,1946-2025,
92,UNITED ARAB REPUBLIC,EGY,42.13,81.1,77.9,1,1946-2025,
93,ERITREA,ERI,39.66,77.75,68.7,1,1946-2025,
94,ETHIOPIA,ETH,39.61,77.81,77.54,1,1946-2025,
95,FIJI,FJI,40.93,68.18,66.94,1,1946-2025,
96,GABON,GAB,36.61,71.03,66.73,1,1946-2025,
97,GHANA,GHA,41.37,76.29,74.66,1,1946-2025,
98,GUINEA,GIN,36.22,75.81,73.78,1,1946-2025,
99,GAMBIA,GMB,28.66,60.5,55.8,1,1946-2025,
100,GUINEA-BISSAU,GNB,30.27,67.06,63.84,1,1946-2025,
101,EQUATORIAL GUINEA,GNQ,25.16,45.67,43.02,1,1946-2025,
102,GRENADA,GRD,33.87,62.89,57.96,1,1946-2025,
103,GUATEMALA,GTM,52.17,67.84,63.92,1,1946-2025,
104,GUYANA,GUY,42.53,79.95,78.19,1,1946-2025,
105,HONDURAS,HND,50.52,69.7,64.63,1,1946-2025,
106,HAITI,HTI,43.59,66.07,61.95,1,1946-2025,
107,HUNGARY,HUN,48.2,66.58,85.66,1,1946-2025,
108,INDONESIA,IDN,41.6,81.23,79.01,1,1946-2025,
109,INDIA,IND,41.08,78.79,78.27,1,1946-2025,
110,IRAN,IRN,40.88,78.55,75.46,1,1946-2025,
111,IRAQ,IRQ,33.5,69.91,68.08,1,1946-2025,
112,JAMAICA,JAM,44.25,77.9,74.97,1,1946-2025,
113,JORDAN,JOR,41.04,80.46,75.94,1,1946-2025,
114,KAZAKHSTAN,KAZ,54.03,77.86,77.51,1,1946-2025,
115,KENYA,KEN,38.83,77.75,75.09,1,1946-2025,
116,KYRGYZSTAN,KGZ,38.59,68.28,65.02,1,1946-2025,
117,DEMOCRATIC KAMPUCHEA,KHM,33.13,71.94,63.4,1,1946-2025,
118,SAINT KITTS AND NEVIS,KNA,29.96,46.0,41.47,1,1946-2025,
119,KUWAIT,KWT,40.11,81.3,78.02,1,1946-2025,
120,LAO PEOPLE's DEMOCRATIC REPUBLIC,LAO,33.21,78.14,77.11,1,1946-2025,
121,LEBANON,LBN,39.46,76.84,71.85,1,1946-2025,
122,LIBERIA,LBR,43.18,57.99,54.6,1,1946-2025,
123,LIBYAN ARAB REPUBLIC,LBY,35.58,80.52,77.43,1,1946-2025,
124,SAINT LUCIA,LCA,38.0,72.95,66.7,1,1946-2025,
125,CEYLON,LKA,41.14,81.55,77.61,1,1946-2025,
126,LESOTHO,LSO,36.39,70.3,67.56,1,1946-2025,
127,MOROCCO,MAR,43.12,80.86,75.03,1,1946-2025,
